Badi|Gregorian|Week|Day|Month|Leap|Days|Day|JRG
Date|Date|Day|Name|Name|Year|Year|Year|Leap
(153, 1, 1)|(1996, 3, 19.762137)|3|Fiḍāl|Bahá|False|365|001|4
(154, 1, 1)|(1997, 3, 19.761994)|4|`Idāl|Bahá|True|366|001|4
(155, 1, 1)|(1998, 3, 20.761852)|6|Istiqlāl|Bahá|False|365|001|4
(156, 1, 1)|(1999, 3, 20.761709)|0|Jalál|Bahá|False|365|001|5
(157, 1, 1)|(2000, 3, 19.762148)|1|Jamál|Bahá|False|365|001|4
(158, 1, 1)|(2001, 3, 19.762006)|2|Kamál|Bahá|True|366|001|4
(159, 1, 1)|(2002, 3, 20.761865)|4|`Idāl|Bahá|False|365|001|4
(160, 1, 1)|(2003, 3, 20.761724)|5|Istijlāl|Bahá|False|365|001|5
(161, 1, 1)|(2004, 3, 19.762164)|6|Istiqlāl|Bahá|False|365|001|4
(162, 1, 1)|(2005, 3, 19.762024)|0|Jalál|Bahá|True|366|001|4
(163, 1, 1)|(2006, 3, 20.761884)|2|Kamál|Bahá|False|365|001|4
(164, 1, 1)|(2007, 3, 20.761744)|3|Fiḍāl|Bahá|False|365|001|5
(165, 1, 1)|(2008, 3, 19.762185)|4|`Idāl|Bahá|False|365|001|4
(166, 1, 1)|(2009, 3, 19.762045)|5|Istijlāl|Bahá|True|366|001|4
(167, 1, 1)|(2010, 3, 20.761904)|0|Jalál|Bahá|False|365|001|4
(168, 1, 1)|(2011, 3, 20.761763)|1|Jamál|Bahá|False|365|001|5
(169, 1, 1)|(2012, 3, 19.762202)|2|Kamál|Bahá|False|365|001|4
(170, 1, 1)|(2013, 3, 19.76206)|3|Fiḍāl|Bahá|True|366|001|4
(171, 1, 1)|(2014, 3, 20.761918)|5|Istijlāl|Bahá|False|365|001|4
(172, 1, 1)|(2015, 3, 20.761775)|6|Istiqlāl|Bahá|False|365|001|4
(173, 1, 1)|(2016, 3, 19.762214)|0|Jalál|Bahá|False|365|001|4
(174, 1, 1)|(2017, 3, 19.762072)|1|Jamál|Bahá|True|366|001|5
(175, 1, 1)|(2018, 3, 20.761929)|3|Fiḍāl|Bahá|False|365|001|4
(176, 1, 1)|(2019, 3, 20.761787)|4|`Idāl|Bahá|False|365|001|4
(177, 1, 1)|(2020, 3, 19.762226)|5|Istijlāl|Bahá|False|365|001|4
(178, 1, 1)|(2021, 3, 19.762085)|6|Istiqlāl|Bahá|True|366|001|5
(179, 1, 1)|(2022, 3, 20.761945)|1|Jamál|Bahá|False|365|001|4
(180, 1, 1)|(2023, 3, 20.761804)|2|Kamál|Bahá|False|365|001|4
(181, 1, 1)|(2024, 3, 19.762245)|3|Fiḍāl|Bahá|False|365|001|4
(182, 1, 1)|(2025, 3, 19.762105)|4|`Idāl|Bahá|True|366|001|5
(183, 1, 1)|(2026, 3, 20.761965)|6|Istiqlāl|Bahá|False|365|001|4
(184, 1, 1)|(2027, 3, 20.761824)|0|Jalál|Bahá|False|365|001|4
(185, 1, 1)|(2028, 3, 19.762265)|1|Jamál|Bahá|False|365|001|4
(186, 1, 1)|(2029, 3, 19.762125)|2|Kamál|Bahá|False|365|001|4
(187, 1, 1)|(2030, 3, 19.761983)|3|Fiḍāl|Bahá|True|366|001|5
(188, 1, 1)|(2031, 3, 20.761841)|5|Istijlāl|Bahá|False|365|001|4
(189, 1, 1)|(2032, 3, 19.76228)|6|Istiqlāl|Bahá|False|365|001|4
(190, 1, 1)|(2033, 3, 19.762138)|0|Jalál|Bahá|False|365|001|4
(191, 1, 1)|(2034, 3, 19.761995)|1|Jamál|Bahá|True|366|001|5
(192, 1, 1)|(2035, 3, 20.761852)|3|Fiḍāl|Bahá|False|365|001|4
(193, 1, 1)|(2036, 3, 19.762291)|4|`Idāl|Bahá|False|365|001|4
(194, 1, 1)|(2037, 3, 19.762149)|5|Istijlāl|Bahá|False|365|001|4
(195, 1, 1)|(2038, 3, 19.762007)|6|Istiqlāl|Bahá|True|366|001|5
(196, 1, 1)|(2039, 3, 20.761865)|1|Jamál|Bahá|False|365|001|4
(197, 1, 1)|(2040, 3, 19.762306)|2|Kamál|Bahá|False|365|001|4
(198, 1, 1)|(2041, 3, 19.762165)|3|Fiḍāl|Bahá|False|365|001|4
(199, 1, 1)|(2042, 3, 19.762025)|4|`Idāl|Bahá|True|366|001|5
(200, 1, 1)|(2043, 3, 20.761884)|6|Istiqlāl|Bahá|False|365|001|4
(201, 1, 1)|(2044, 3, 19.761744)|0|Jalál|Bahá|False|365|001|4
(202, 1, 1)|(2045, 3, 19.761603)|1|Jamál|Bahá|False|365|001|4
(203, 1, 1)|(2046, 3, 19.761462)|2|Kamál|Bahá|True|366|001|5
(204, 1, 1)|(2047, 3, 20.761904)|4|`Idāl|Bahá|False|365|001|4
(205, 1, 1)|(2048, 3, 19.761763)|5|Istijlāl|Bahá|False|365|001|4
(206, 1, 1)|(2049, 3, 19.76162)|6|Istiqlāl|Bahá|False|365|001|4
(207, 1, 1)|(2050, 3, 19.761478)|0|Jalál|Bahá|True|366|001|5
(208, 1, 1)|(2051, 3, 20.761918)|2|Kamál|Bahá|False|365|001|4
(209, 1, 1)|(2052, 3, 19.761775)|3|Fiḍāl|Bahá|False|365|001|4
(210, 1, 1)|(2053, 3, 19.761632)|4|`Idāl|Bahá|False|365|001|4
(211, 1, 1)|(2054, 3, 19.761489)|5|Istijlāl|Bahá|True|366|001|5
(212, 1, 1)|(2055, 3, 20.761929)|0|Jalál|Bahá|False|365|001|4
(213, 1, 1)|(2056, 3, 19.761787)|1|Jamál|Bahá|False|365|001|4
(214, 1, 1)|(2057, 3, 19.761644)|2|Kamál|Bahá|False|365|001|4
(215, 1, 1)|(2058, 3, 19.761502)|3|Fiḍāl|Bahá|False|365|001|4
(216, 1, 1)|(2059, 3, 19.761944)|4|`Idāl|Bahá|True|366|001|5
(217, 1, 1)|(2060, 3, 19.761803)|6|Istiqlāl|Bahá|False|365|001|4
(218, 1, 1)|(2061, 3, 19.761662)|0|Jalál|Bahá|False|365|001|4
(219, 1, 1)|(2062, 3, 19.761522)|1|Jamál|Bahá|False|365|001|4
(220, 1, 1)|(2063, 3, 19.761965)|2|Kamál|Bahá|True|366|001|5
(221, 1, 1)|(2064, 3, 19.761824)|4|`Idāl|Bahá|False|365|001|4
(222, 1, 1)|(2065, 3, 19.761683)|5|Istijlāl|Bahá|False|365|001|4
(223, 1, 1)|(2066, 3, 19.761541)|6|Istiqlāl|Bahá|False|365|001|4
(224, 1, 1)|(2067, 3, 19.761983)|0|Jalál|Bahá|True|366|001|5
(225, 1, 1)|(2068, 3, 19.761841)|2|Kamál|Bahá|False|365|001|4
(226, 1, 1)|(2069, 3, 19.761698)|3|Fiḍāl|Bahá|False|365|001|4
(227, 1, 1)|(2070, 3, 19.761555)|4|`Idāl|Bahá|False|365|001|4
(228, 1, 1)|(2071, 3, 19.761995)|5|Istijlāl|Bahá|True|366|001|5
(229, 1, 1)|(2072, 3, 19.761852)|0|Jalál|Bahá|False|365|001|4
(230, 1, 1)|(2073, 3, 19.761709)|1|Jamál|Bahá|False|365|001|4
|CJN||JRG
Greg|Badi|Greg/Badi|Badi|Greg/Badi
Leap|Leap|Leap|Leap|Leap
Year|Year|Year|Year|Year
1844|001|1844||
1848|005|1848|004|1847
1852|009|1852|008|1851
1856|013|1856|012|1855
1860|017|1860|016|1859
1864|022|1865|020|1863
1868|026|1869|024|1867
1872|030|1873|028|1871
1876|034|1877|032|1878
1880|038|1881|036|1879
1884|042|1885|040|1883
1888|046|1889|044|1887
1892|050|1893|048|1891
1896|055|1898|052|1895
1904|059|1902|060|1903
1908|063|1906|064|1907
1912|067|1910|068|1911
1916|071|1914|072|1915
1920|075|1918|076|1919
1924|079|1922|080|1923
1928|083|1926|084|1927
1932|088|1931|088|1931
1936|092|1935|092|1935
1940|096|1939|096|1939
1944|100|1943|100|1943
1948|104|1947|104|1947
1952|108|1951|108|1951
1956|112|1955|112|1955
1960|117|1960|116|1959
1964|121|1964|120|1963
1968|125|1968|124|1967
1972|129|1972|128|1971
1976|133|1976|132|1975
1980|137|1980|136|1979
1984|141|1984|140|1983
1988|145|1988|144|1987
1992|150|1993|148|1991
1996|154|1997|152|1995
2000|158|2001|156|1999
2004|162|2005|160|2003
2008|166|2009|164|2007
2012|170|2013|168|2011
2016|174|2017|174|2017
2020|178|2021|178|2021
2024|182|2025|182|2025
2028|187|2030|187|2030
2032|191|2034|191|2034
2036|195|2038|195|2038
2040|199|2042|199|2042
2044|203|2046|203|2046
2048|207|2050|207|2050
2052|211|2054|211|2054
2056|216|2059|216|2059
2060|220|2063|220|2063
2064|224|2067|224|2067
2068|228|2071|228|2071
